Company: Organization Name,Company: Organization Permalink,Company: Industries,Company: Headquarters Location,Company: Description,Company: CB Rank (Organization),Company: Stage,Company: CB Rank (Company),Company: Founded Date,Company: Investor Type,Company: Investment Stage,Company: Number of Investments,Company: Number of Funding Rounds,Company: Funding Status,Company: Last Funding Type,Company: Total Funding Amount,Company: Last Funding Amount,Company: Number Of Investors,Company: Revenue Range,Organization Permalink,Organization Name,Announced Date,Transaction Name,Transaction Link,Number of Investors,Money Raised,Lead Investors
Clinomic,clinomic,"Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Medical",Aachen,Medical AI company with a focus on critical care.,1615,early_stage_venture,1346,2019-01-14,,,,4,Raised,series_b,54567284,25213769,3,r_00001000,clinomic,Clinomic,"Mar 22, 2021",Venture Round - Clinomic,https://www.crunchbase.com/funding_round/clinomic-series-unknown--b2daf5b2,,€7M,
Clinomic,clinomic,"Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Medical",Aachen,Medical AI company with a focus on critical care.,1615,early_stage_venture,1346,2019-01-14,,,,4,Raised,series_b,54567284,25213769,3,r_00001000,clinomic,Clinomic,"Jan 1, 2021",Seed Round - Clinomic,https://www.crunchbase.com/funding_round/clinomic-seed--b3fe4e28,1,€3M,German Federal Ministry of Education and Research
Celonis,celonis,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Business Process Automation (BPA), SaaS",Munich,Celonis provides an execution management system that helps companies in running their business processes.,1715,late_stage_venture,1430,2011-01-01,,,1,7,Raised,secondary_market,2367500000,,32,,celonis,Celonis,"Jul 15, 2023",Secondary Market - Celonis,https://www.crunchbase.com/funding_round/celonis-secondary-market--df2996c4,1,—,
Celonis,celonis,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Business Process Automation (BPA), SaaS",Munich,Celonis provides an execution management system that helps companies in running their business processes.,1715,late_stage_venture,1430,2011-01-01,,,1,7,Raised,secondary_market,2367500000,,32,,celonis,Celonis,"Aug 23, 2022",Series D - Celonis,https://www.crunchbase.com/funding_round/celonis-series-d--002fe241,13,$400M,Qatar Investment Authority
Celonis,celonis,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Business Process Automation (BPA), SaaS",Munich,Celonis provides an execution management system that helps companies in running their business processes.,1715,late_stage_venture,1430,2011-01-01,,,1,7,Raised,secondary_market,2367500000,,32,,celonis,Celonis,"Aug 23, 2022",Debt Financing - Celonis,https://www.crunchbase.com/funding_round/celonis-debt-financing--d9be1e11,13,$600M,KeyBanc Capital Markets
Celonis,celonis,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Business Process Automation (BPA), SaaS",Munich,Celonis provides an execution management system that helps companies in running their business processes.,1715,late_stage_venture,1430,2011-01-01,,,1,7,Raised,secondary_market,2367500000,,32,,celonis,Celonis,"Jun 2, 2021",Series D - Celonis,https://www.crunchbase.com/funding_round/celonis-series-d--21c97283,7,$1B,"Durable Capital Partners, T. Rowe Price"
Celonis,celonis,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Business Process Automation (BPA), SaaS",Munich,Celonis provides an execution management system that helps companies in running their business processes.,1715,late_stage_venture,1430,2011-01-01,,,1,7,Raised,secondary_market,2367500000,,32,,celonis,Celonis,"Nov 21, 2019",Series C - Celonis,https://www.crunchbase.com/funding_round/celonis-series-c--0672828b,5,$290M,Arena Holdings
Celonis,celonis,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Business Process Automation (BPA), SaaS",Munich,Celonis provides an execution management system that helps companies in running their business processes.,1715,late_stage_venture,1430,2011-01-01,,,1,7,Raised,secondary_market,2367500000,,32,,celonis,Celonis,"Jun 26, 2018",Series B - Celonis,https://www.crunchbase.com/funding_round/celonis-series-b--0ef92e7f,2,$50M,"83North, Accel"
Celonis,celonis,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Business Process Automation (BPA), SaaS",Munich,Celonis provides an execution management system that helps companies in running their business processes.,1715,late_stage_venture,1430,2011-01-01,,,1,7,Raised,secondary_market,2367500000,,32,,celonis,Celonis,"Jun 7, 2016",Series A - Celonis,https://www.crunchbase.com/funding_round/celonis-series-a--7e77f970,3,$27.5M,"83North, Accel"
Black Forest Labs,black-forest-labs-01de,"Artificial Intelligence (AI), Generative AI, Media and Entertainment, Software",Freiburg Im Breisgau,"Black Forest Labs develops advanced generative deep learning models for images and videos, emphasizing broad accessibility and transparency.",1867,seed,1556,2024-01-01,,,,1,Raised,seed,30202193,30202193,8,,black-forest-labs-01de,Black Forest Labs,"Aug 1, 2024",Seed Round - Black Forest Labs,https://www.crunchbase.com/funding_round/black-forest-labs-01de-seed--b2580825,8,€28M,Andreessen Horowitz
ai|coustics,ai-coustics,"Artificial Intelligence (AI), Audio, Broadcasting",Berlin,ai|coustics is pioneering innovative audio algorithms based on AI and Deep Learning models.,2131,seed,1783,2021-09-14,,,,3,Raised,seed,7440077,5396450,12,,ai-coustics,ai|coustics,"Mar 25, 2025",Seed Round - ai|coustics,https://www.crunchbase.com/funding_round/ai-coustics-seed--d429f494,10,€5M,Partech
ai|coustics,ai-coustics,"Artificial Intelligence (AI), Audio, Broadcasting",Berlin,ai|coustics is pioneering innovative audio algorithms based on AI and Deep Learning models.,2131,seed,1783,2021-09-14,,,,3,Raised,seed,7440077,5396450,12,,ai-coustics,ai|coustics,"Mar 25, 2024",Pre Seed Round - ai|coustics,https://www.crunchbase.com/funding_round/ai-coustics-pre-seed--69118534,4,€1.7M,Connect Ventures
ai|coustics,ai-coustics,"Artificial Intelligence (AI), Audio, Broadcasting",Berlin,ai|coustics is pioneering innovative audio algorithms based on AI and Deep Learning models.,2131,seed,1783,2021-09-14,,,,3,Raised,seed,7440077,5396450,12,,ai-coustics,ai|coustics,"Jul 1, 2022",Angel Round - ai|coustics,https://www.crunchbase.com/funding_round/ai-coustics-angel--6e867798,,€245K,
