Round 1_Date,Round 1_Name,Round 1_InvestorsCount,Round 1_Sum,Round 1_LeadInvestors,Round 2_Date,Round 2_Name,Round 2_InvestorsCount,Round 2_Sum,Round 2_LeadInvestors,Round 3_Date,Round 3_Name,Round 3_InvestorsCount,Round 3_Sum,Round 3_LeadInvestors,Round 4_Date,Round 4_Name,Round 4_InvestorsCount,Round 4_Sum,Round 4_LeadInvestors,Round 5_Date,Round 5_Name,Round 5_InvestorsCount,Round 5_Sum,Round 5_LeadInvestors,Round 6_Date,Round 6_Name,Round 6_InvestorsCount,Round 6_Sum,Round 6_LeadInvestors,Round 7_Date,Round 7_Name,Round 7_InvestorsCount,Round 7_Sum,Round 7_LeadInvestors,Round 8_Date,Round 8_Name,Round 8_InvestorsCount,Round 8_Sum,Round 8_LeadInvestors,Round 9_Date,Round 9_Name,Round 9_InvestorsCount,Round 9_Sum,Round 9_LeadInvestors,Round 10_Date,Round 10_Name,Round 10_InvestorsCount,Round 10_Sum,Round 10_LeadInvestors
"Dec 10, 2018",Pre Seed Round - Alpaca,6,,,"Sep 6, 2019",Non Equity Assistance - Alpaca,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 12, 2021",Seed Round - Energy Robotics,6,,Earlybird Venture Capital,"Oct 5, 2022",Grant - Energy Robotics,1,,European Innovation Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 29, 2023",Angel Round - Futurised,1,,Carsten Maschmeyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 1, 2016",Convertible Note - 5Analytics,1,,,"Oct 11, 2017",Seed Round - 5Analytics,3,,High-Tech Gruenderfonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 2, 2024",Pre Seed Round - Dadan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 6, 2017",Seed Round - Zana Technologies GmbH,1,,,"Dec 1, 2017",Grant - Zana Technologies GmbH,,,,"Apr 9, 2019",Seed Round - Zana Technologies GmbH,1,,Plug and Play Insurtech,"Jul 16, 2019",Pre Seed Round - Zana Technologies GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 9, 2023",Pre Seed Round - dehaze,1,,Techstars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 1, 2016",Seed Round - Plantix,1,,Atlantic Labs,"Apr 13, 2017",Seed Round - Plantix,2,,Atlantic Labs,"Jan 17, 2018",Seed Round - Plantix,1,,Index Ventures,"Nov 21, 2019",Series A - Plantix,4,,RTP Global,"Jul 31, 2020",Venture Round - Plantix,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 7, 2013",Venture Round - Customcells Group,2,,,"Jul 26, 2021",Seed Round - Customcells Group,3,,,"Dec 8, 2022",Series A - Customcells Group,4,,"ABACON CAPITAL, World Fund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 1, 2022",Grant - CO2OPT,,,,"Jun 6, 2023",Seed Round - CO2OPT,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
